2025/12/19 16:24:27.439404 Creating new node at port :5003
2025/12/19 16:24:27.603120 Created new node
2025/12/19 16:24:27.604121 Connected with peers
2025/12/19 16:24:27.607611 Connected with node: :5001
2025/12/19 16:24:27.607611 Connected with node: :5002
2025/12/19 16:24:27.607611 Node running on :5003
2025/12/19 16:25:02.531365 [:5003] ResetDB: cleared state seq=0 ballot=0 logs=0 twoPC=0 leader=:5001
2025/12/19 16:25:02.537153 Connected with node: :5001
2025/12/19 16:25:02.537707 Connected with node: :5002
2025/12/19 16:25:03.123855 [:5003] ResetDB: balances reset to 10 for shard 1-3000
2025/12/19 16:25:03.134709 For node :5003 disabled? true
2025/12/19 16:25:03.862510 [:5003] Accept2PC: disabled
2025/12/19 16:25:03.871186 [:5003] Accept2PC: disabled
2025/12/19 16:25:03.876049 [:5003] Accept2PC: disabled
2025/12/19 16:25:03.880092 [:5003] Accept2PC: disabled
2025/12/19 16:25:03.919438 [:5003] Accept2PC: disabled
2025/12/19 16:25:03.927132 [:5003] Accept2PC: disabled
2025/12/19 16:25:03.944547 [:5003] Accept2PC: disabled
2025/12/19 16:25:03.967456 [:5003] Accept2PC: disabled
2025/12/19 16:25:04.064996 [:5003] Accept2PC: disabled
2025/12/19 16:25:04.074992 [:5003] Accept2PC: disabled
2025/12/19 16:25:04.084179 [:5003] Accept2PC: disabled
2025/12/19 16:25:04.088182 [:5003] Accept2PC: disabled
2025/12/19 16:25:04.120754 [:5003] Accept2PC: disabled
2025/12/19 16:25:04.128260 [:5003] Accept2PC: disabled
2025/12/19 16:25:04.145432 [:5003] Accept2PC: disabled
2025/12/19 16:25:04.171580 [:5003] Accept2PC: disabled
2025/12/19 16:25:04.267827 [:5003] Accept2PC: disabled
2025/12/19 16:25:04.278492 [:5003] Accept2PC: disabled
2025/12/19 16:25:04.291965 [:5003] Accept2PC: disabled
2025/12/19 16:25:04.305910 [:5003] Accept2PC: disabled
2025/12/19 16:25:04.323506 [:5003] Accept2PC: disabled
2025/12/19 16:25:04.330751 [:5003] Accept2PC: disabled
2025/12/19 16:25:04.346020 [:5003] Accept2PC: disabled
2025/12/19 16:25:04.373383 [:5003] Accept2PC: disabled
2025/12/19 16:25:04.469538 [:5003] Accept2PC: disabled
2025/12/19 16:25:04.479192 [:5003] Accept2PC: disabled
2025/12/19 16:25:04.497410 [:5003] Accept2PC: disabled
2025/12/19 16:25:04.510623 [:5003] Accept2PC: disabled
2025/12/19 16:25:04.524903 [:5003] Accept2PC: disabled
2025/12/19 16:25:04.531755 [:5003] Accept2PC: disabled
2025/12/19 16:25:04.547151 [:5003] Accept2PC: disabled
2025/12/19 16:25:04.574385 [:5003] Accept2PC: disabled
2025/12/19 16:25:04.670917 [:5003] Accept2PC: disabled
2025/12/19 16:25:04.679987 [:5003] Accept2PC: disabled
2025/12/19 16:25:04.698784 [:5003] Accept2PC: disabled
2025/12/19 16:25:04.711913 [:5003] Accept2PC: disabled
2025/12/19 16:25:04.726089 [:5003] Accept2PC: disabled
2025/12/19 16:25:04.732815 [:5003] Accept2PC: disabled
2025/12/19 16:25:04.747332 [:5003] Accept2PC: disabled
2025/12/19 16:25:04.774624 [:5003] Accept2PC: disabled
2025/12/19 16:25:04.872298 [:5003] Accept2PC: disabled
2025/12/19 16:25:04.883479 [:5003] Accept2PC: disabled
2025/12/19 16:25:04.899505 [:5003] Accept2PC: disabled
2025/12/19 16:25:04.913402 [:5003] Accept2PC: disabled
2025/12/19 16:25:04.927675 [:5003] Accept2PC: disabled
2025/12/19 16:25:04.933944 [:5003] Accept2PC: disabled
2025/12/19 16:25:04.948934 [:5003] Accept2PC: disabled
2025/12/19 16:25:04.976048 [:5003] Accept2PC: disabled
2025/12/19 16:25:05.073093 [:5003] Accept2PC: disabled
2025/12/19 16:25:05.084532 [:5003] Accept2PC: disabled
2025/12/19 16:25:05.100111 [:5003] Accept2PC: disabled
2025/12/19 16:25:05.113538 [:5003] Accept2PC: disabled
2025/12/19 16:25:05.128252 [:5003] Accept2PC: disabled
2025/12/19 16:25:05.134277 [:5003] Accept2PC: disabled
2025/12/19 16:25:05.149274 [:5003] Accept2PC: disabled
2025/12/19 16:25:05.177307 [:5003] Accept2PC: disabled
2025/12/19 16:25:05.286403 [:5003] Accept2PC: disabled
2025/12/19 16:25:05.286403 [:5003] Accept2PC: disabled
2025/12/19 16:25:05.301407 [:5003] Accept2PC: disabled
2025/12/19 16:25:05.314924 [:5003] Accept2PC: disabled
2025/12/19 16:25:05.328482 [:5003] Accept2PC: disabled
2025/12/19 16:25:05.335338 [:5003] Accept2PC: disabled
2025/12/19 16:25:05.350379 [:5003] Accept2PC: disabled
2025/12/19 16:25:05.378582 [:5003] Accept2PC: disabled
2025/12/19 16:25:05.487612 [:5003] Accept2PC: disabled
2025/12/19 16:25:05.487612 [:5003] Accept2PC: disabled
2025/12/19 16:25:05.502855 [:5003] Accept2PC: disabled
2025/12/19 16:25:05.516285 [:5003] Accept2PC: disabled
2025/12/19 16:25:05.530248 [:5003] Accept2PC: disabled
2025/12/19 16:25:05.535735 [:5003] Accept2PC: disabled
